Cultivar,Empresa,Floracion_dias,Altura_cm,Densidad_sem,Rendimiento,Aceite_porcentaje,Rendimiento_Ajustado,Campania,Localidad,Latitud,Longitud,Ensayo,Tipo Ensayo,Epoca,Distancia_surcos,Tipo_Siembra,Densidad_siembra,Fecha_Siembra,Testigo,Visible
ACA 863,ACA,56,154,63485,2567,50.6,2788,2009-2010,Balcarce,-37.84985917,-58.26744333,Balcarce  2009-2010,Convencional,Normal,52,Directa,50000,24/11/2009,NO,SI
ACA 863,ACA,68,164,41689,3003,49.3,3222,2009-2010,Balcarce,-37.84985917,-58.26744333,Balcarce  2009-2010,Convencional,Normal,52,Directa,50000,22/10/2009,NO,SI
ACA 863,ACA,66,,41442,1566,50.65,1701,2009-2010,Barrow,-38.311904,-60.231644,Barrow  2009-2010,Convencional,Normal,52,Directa,,29/10/2009,NO,SI
ACA 863,ACA,74,158,55102,4501,56.7,5163,2009-2010,Bellocq,-35.932778,-61.487778,Bellocq  2009-2010,Convencional,Normal,52,Directa,50000,20/10/2009,NO,SI
ACA 863,ACA,59,147,46494,2243,45.09,2312,2009-2010,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2009-2010,Convencional,Normal,52,Directa,48000,02/11/2009,NO,SI
ACA 863,ACA,62,163,43295,2123,51.3,2320,2009-2010,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2009-2010,Convencional,Normal,52,Convencional,48000,03/11/2009,NO,SI
ACA 863,ACA,71,155,,2788,48.85,2979,2009-2010,Miramar,-38.25021556,-57.83298972,Miramar  2009-2010,Convencional,Normal,52,Convencional,50000,31/10/2009,NO,SI
ACA 863,ACA,65,144,54310,2993,51.56,3279,2009-2010,Pieres,-38.393776,-58.672387,Pieres  2009-2010,Convencional,Normal,52,Directa,48000,29/10/2009,NO,SI
ACA 863,ACA,62,159,,2514,54.12,2819,2009-2010,Tandil,-37.31680472,-59.13307167,Tandil  2009-2010,Convencional,Normal,52,Directa,50000,06/11/2009,NO,SI
ACA 864 DM,ACA,71,194,72550,4471,47.27,4707,2003-2004,Ascasubi,-39.38364306,-62.6666425,Ascasubi  2003-2004,Convencional,Normal,70,Convencional,66000,22/10/2003,NO,SI
ACA 864 DM,ACA,65,163,52819,3240,46.35,3381,2003-2004,Balcarce,-37.84985917,-58.26744333,Balcarce  2003-2004,Convencional,Tardia,70,Convencional,46000,11/12/2003,NO,SI
